step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,3073,1971,0.12954718003905077,272,221,0.12735758073540004,2801,1750,0.12982369515111178,106,0.8,0.1,7391,785,6606
5000,2369,1756,0.11672173201976242,238,160,0.11919307374218739,2131,1596,0.11647397846362957,107,0.8,0.3,8025,760,7265
5000,5919,1352,0.18113377842382825,662,141,0.19492918993290193,5257,1211,0.17952754141079813,108,0.8,0.5,4627,423,4204
5000,6736,1197,0.1992434069938963,665,111,0.23240266545900645,6071,1086,0.1958542010181806,109,0.8,0.7,3712,345,3367
5000,3542,1931,0.15577317593306042,361,212,0.14274078443451463,3181,1719,0.1573804284040853,110,0.8,0.9,6679,675,6004
5000,2526,3165,0.09999999999999992,272,317,0.10000000000000007,2254,2848,0.09999999999999996,111,0.0,0.1,8087,802,7285
5000,967,699,0.3000000000000003,100,76,0.30000000000000004,867,623,0.3000000000000004,112,0.0,0.3,9538,935,8603
5000,1744,531,0.5,179,52,0.5,1565,479,0.5,113,0.0,0.5,8526,855,7671
5000,8828,44,0.6999999999999997,937,7,0.7000000000000001,7891,37,0.6999999999999998,114,0.0,0.7,1860,192,1668
1060,2547,0,0.0,273,0,0.0,2274,0,0.0,115,0.0,0.9,76,3,73
5000,4416,1788,0.15573071062970892,426,180,0.1559107666551553,3990,1608,0.15571055510447232,116,0.8,0.1,6093,599,5494
5000,2579,1756,0.13022594100146415,265,162,0.12265000942842588,2314,1594,0.1309958913871807,117,0.8,0.3,7873,739,7134
5000,3694,1824,0.14108246801498164,434,186,0.12719656055559295,3260,1638,0.1426592560415056,118,0.8,0.5,6751,606,6145
5000,4146,1630,0.17407361637700544,416,141,0.1544981774957444,3730,1489,0.17592730132143644,119,0.8,0.7,6443,627,5816
5000,8139,898,0.22627143216467596,825,109,0.25279336175725814,7314,789,0.22260743935657523,120,0.8,0.9,2420,246,2174
5000,1837,2946,0.0999999999999999,160,291,0.10000000000000003,1677,2655,0.1,121,0.0,0.1,8658,841,7817
5000,888,616,0.30000000000000027,89,64,0.3000000000000001,799,552,0.3000000000000002,122,0.0,0.3,9507,972,8535
5000,1878,541,0.5,199,42,0.5,1679,499,0.5,123,0.0,0.5,8687,928,7759
5000,9433,30,0.6999999999999997,956,2,0.7,8477,28,0.6999999999999998,124,0.0,0.7,969,86,883
2189,4818,0,0.0,488,0,0.0,4330,0,0.0,125,0.0,0.9,140,14,126
5000,3215,1960,0.1407491112484021,302,225,0.14631156550020435,2913,1735,0.14002775550969576,126,0.8,0.1,7294,755,6539
5000,2556,1847,0.13044290374394343,225,188,0.10288644234253992,2331,1659,0.13356563716375286,127,0.8,0.3,7767,759,7008
5000,3104,1863,0.13557073716044743,261,194,0.13620242409083722,2843,1669,0.13549731159753817,128,0.8,0.5,7441,750,6691
5000,8359,602,0.2273922709387192,868,55,0.21866150711010604,7491,547,0.2282701356746858,129,0.8,0.7,2003,175,1828
