step,susceptible_status,infected_status,filtermean_virulence,ensemble,mutation_rate,virulence_init,total_infected
20000,0.8866627276145459,0.11333727238545416,0.06072650397702093,227,0.4,0.2,25539.0
20000,0.8990304420350292,0.10096955796497081,0.06333766976618861,228,0.4,0.3,24929.0
20000,0.8980701567331272,0.10192984326687281,0.06019713097189489,229,0.4,0.4,24903.0
20000,0.8956957170253569,0.10430428297464309,0.06409733292689392,230,0.4,0.5,25167.0
20000,0.9043674303989934,0.09563256960100666,0.064065970461418,231,0.4,0.6,24710.0
20000,0.8885846672283066,0.11141533277169334,0.060181247126566154,232,0.4,0.7,25507.0
746,1.0,0.0,NaN,233,0.4,0.8,37.0
283,1.0,0.0,NaN,234,0.4,0.9,15.0
20000,0.9165886635465419,0.08341133645345813,0.06469748567830683,235,0.8,0.1,24263.0
20000,0.910579473576821,0.08942052642317894,0.07168112935315321,236,0.8,0.2,24350.0
20000,0.9199877532275348,0.08001224677246517,0.06314570596244973,237,0.8,0.3,24018.0
20000,0.9199960295796318,0.08000397042036826,0.07274105830680265,238,0.8,0.4,23667.0
20000,0.9137191293428213,0.08628087065717874,0.0698828954662342,239,0.8,0.5,24297.0
20000,0.9166113804541975,0.0833886195458025,0.07189608762823811,240,0.8,0.6,24020.0
20000,0.908453945686084,0.09154605431391602,0.06588388310680415,241,0.8,0.7,24131.0
20000,0.9195614304744338,0.08043856952556615,0.06750604848863005,242,0.8,0.8,24023.0
439,1.0,0.0,NaN,243,0.8,0.9,24.0
20000,0.9350150086892411,0.06498499131075886,0.10000000000000006,244,0.0,0.1,24163.0
20000,0.9685313020709355,0.03146869792906451,0.20000000000000004,245,0.0,0.2,22018.0
20000,0.9884780807323521,0.011521919267647871,0.2999999999999999,246,0.0,0.3,17077.0
20000,0.9955402860823891,0.004459713917610915,0.39999999999999997,247,0.0,0.4,11931.0
14090,1.0,0.0,NaN,248,0.0,0.5,5063.0
19560,1.0,0.0,NaN,249,0.0,0.6,4158.0
783,1.0,0.0,NaN,250,0.0,0.7,41.0
1074,1.0,0.0,NaN,251,0.0,0.8,52.0
593,1.0,0.0,NaN,252,0.0,0.9,17.0
20000,0.8880800727934486,0.11191992720655142,0.060778481977281786,253,0.4,0.1,25439.0
20000,0.8909722953755399,0.10902770462446013,0.061809257608064896,254,0.4,0.2,25009.0
20000,0.8990417343038174,0.10095826569618264,0.06162276273207823,255,0.4,0.3,24999.0
20000,0.895205298013245,0.10479470198675497,0.059926626257138384,256,0.4,0.4,24975.0
20000,0.8953494609236711,0.10465053907632892,0.06177807165452573,257,0.4,0.5,25707.0
20000,0.8833324322863167,0.1166675677136833,0.06469338183746617,258,0.4,0.6,26018.0
20000,0.8976272993868302,0.10237270061316982,0.0548987133667692,259,0.4,0.7,25128.0
675,1.0,0.0,NaN,260,0.4,0.8,25.0
20000,0.8990935611585748,0.10090643884142529,0.06381260785010921,261,0.4,0.9,24696.0
20000,0.9219911593329315,0.07800884066706852,0.06659238377915773,262,0.8,0.1,23725.0
20000,0.9221559885788709,0.0778440114211291,0.06633692379692827,263,0.8,0.2,23670.0
20000,0.9266405484818805,0.07335945151811948,0.06900682277940343,264,0.8,0.3,23220.0
20000,0.9114387230206289,0.08856127697937105,0.06965604864639906,265,0.8,0.4,24659.0
20000,0.9171672462851723,0.08283275371482769,0.06639006553752493,266,0.8,0.5,24745.0
20000,0.9179375820624179,0.08206241793758207,0.06737393103706932,267,0.8,0.6,24186.0
20000,0.9187940922702127,0.08120590772978734,0.06514196100648903,268,0.8,0.7,23807.0
20000,0.907541430669184,0.09245856933081603,0.06658474446533227,269,0.8,0.8,24736.0
20000,0.9198787572619348,0.08012124273806517,0.06704645837179429,270,0.8,0.9,24005.0
20000,0.9351373898534856,0.06486261014651441,0.10000000000000007,271,0.0,0.1,24128.0
20000,0.9712115153938424,0.028788484606157537,0.19999999999999998,272,0.0,0.2,19807.0
20000,0.9899814171447039,0.010018582855296113,0.29999999999999993,273,0.0,0.3,17683.0
20000,0.9950901739297863,0.004909826070213722,0.39999999999999986,274,0.0,0.4,10644.0
20000,0.9970253417996682,0.0029746582003317887,0.5,275,0.0,0.5,7207.0
5856,1.0,0.0,NaN,276,0.0,0.6,571.0
778,1.0,0.0,NaN,277,0.0,0.7,27.0
644,1.0,0.0,NaN,278,0.0,0.8,43.0
1226,1.0,0.0,NaN,279,0.0,0.9,55.0
20000,0.9090389016018307,0.09096109839816933,0.06048653900406707,280,0.4,0.1,24626.0
20000,0.8969977145231665,0.10300228547683357,0.06085992559892286,281,0.4,0.2,24469.0
20000,0.8993818502934913,0.10061814970650876,0.06636780720823139,282,0.4,0.3,24641.0
20000,0.906949847544948,0.09305015245505205,0.06413008652810907,283,0.4,0.4,24597.0
20000,0.9107225270498949,0.08927747295010512,0.058135049626095295,284,0.4,0.5,24688.0
20000,0.8836894779550988,0.11631052204490128,0.06127110236803727,285,0.4,0.6,25644.0
20000,0.9034876413908672,0.0965123586091328,0.062038706165258486,286,0.4,0.7,24979.0
1125,1.0,0.0,NaN,287,0.4,0.8,39.0
20000,0.8977284622631634,0.1022715377368366,0.06523395508722064,288,0.4,0.9,24878.0
20000,0.9115347268359993,0.08846527316400062,0.07653952229747568,289,0.8,0.1,24208.0
20000,0.9203658725647254,0.07963412743527466,0.06796997504843966,290,0.8,0.2,24015.0
20000,0.9268342218837269,0.07316577811627317,0.06644494062039746,291,0.8,0.3,23591.0
20000,0.9173349472940939,0.08266505270590609,0.0703254070137136,292,0.8,0.4,24005.0
20000,0.9255441581185889,0.07445584188141106,0.06777129613151664,293,0.8,0.5,23883.0
20000,0.9237884783390719,0.07621152166092811,0.06554837527362169,294,0.8,0.6,23749.0
1059,1.0,0.0,NaN,295,0.8,0.7,34.0
606,1.0,0.0,NaN,296,0.8,0.8,13.0
274,1.0,0.0,NaN,297,0.8,0.9,19.0
20000,0.9468227769754487,0.053177223024551266,0.10000000000000005,298,0.0,0.1,23470.0
20000,0.9620573744071464,0.037942625592853524,0.19999999999999984,299,0.0,0.2,21237.0
20000,0.990675423660099,0.009324576339901079,0.2999999999999999,300,0.0,0.3,17596.0
20000,0.9915555865726847,0.008444413427315235,0.4,301,0.0,0.4,13530.0
12225,1.0,0.0,NaN,302,0.0,0.5,5702.0
1880,1.0,0.0,NaN,303,0.0,0.6,127.0
1011,1.0,0.0,NaN,304,0.0,0.7,53.0
1764,1.0,0.0,NaN,305,0.0,0.8,122.0
507,1.0,0.0,NaN,306,0.0,0.9,30.0
20000,0.9006005056890013,0.09939949431099873,0.06404066638450946,307,0.4,0.1,24793.0
20000,0.9057649087963205,0.09423509120367951,0.06329472120578689,308,0.4,0.2,24202.0
20000,0.8928313190786076,0.10716868092139242,0.0611022765825178,309,0.4,0.3,24577.0
20000,0.8909419135605819,0.10905808643941807,0.0620534274085007,310,0.4,0.4,24918.0
20000,0.8940439201643057,0.10595607983569436,0.05993695307290109,311,0.4,0.5,24551.0
862,1.0,0.0,NaN,312,0.4,0.6,21.0
933,1.0,0.0,NaN,313,0.4,0.7,70.0
1217,1.0,0.0,NaN,314,0.4,0.8,45.0
20000,0.8945374691188581,0.10546253088114192,0.059036335293838185,315,0.4,0.9,25329.0
20000,0.9232634503662541,0.07673654963374589,0.06808557163561309,316,0.8,0.1,24040.0
20000,0.9130895869104131,0.08691041308958691,0.06689475795668876,317,0.8,0.2,24047.0
20000,0.9231081149576765,0.07689188504232349,0.0671404554536328,318,0.8,0.3,23648.0
20000,0.9282568268571988,0.07174317314280121,0.0702986098090228,319,0.8,0.4,23163.0
703,1.0,0.0,NaN,320,0.8,0.5,20.0
20000,0.9149338374291115,0.08506616257088846,0.06905917997115951,321,0.8,0.6,24565.0
20000,0.9221403396347324,0.07785966036526754,0.06440302321515437,322,0.8,0.7,24642.0
20000,0.9168395932766134,0.08316040672338659,0.06859234103184796,323,0.8,0.8,24042.0
20000,0.9166046956336981,0.08339530436630192,0.06814159672819811,324,0.8,0.9,24892.0
20000,0.9422501647822339,0.05774983521776606,0.10000000000000007,325,0.0,0.1,23353.0
20000,0.9661410238196714,0.03385897618032865,0.19999999999999987,326,0.0,0.2,21763.0
20000,0.984776119402985,0.015223880597014926,0.2999999999999999,327,0.0,0.3,15287.0
