step,susceptible_status,infected_status,filtermean_virulence,ensemble,virulence_init,total_infected
20000,0.9174418604651163,0.08255813953488372,0.06660969658470459,88,0.7,23851.0
20000,0.9096703411524999,0.09032965884750013,0.0634627209655857,89,0.8,24575.0
20000,0.9133042809536016,0.08669571904639836,0.07122580776939717,90,0.9,24235.0
20000,0.9552238805970149,0.04477611940298507,0.09999999999999995,91,0.1,24285.0
20000,0.9756244496964641,0.024375550303535845,0.20000000000000015,92,0.2,21103.0
20000,0.9875886524822695,0.012411347517730497,0.2999999999999999,93,0.3,16918.0
1684,1.0,0.0,NaN,94,0.4,67.0
1426,1.0,0.0,NaN,95,0.5,56.0
981,1.0,0.0,NaN,96,0.6,48.0
837,1.0,0.0,NaN,97,0.7,60.0
1327,1.0,0.0,NaN,98,0.8,58.0
728,1.0,0.0,NaN,99,0.9,44.0
20000,0.9182364527044089,0.08176354729559113,0.07182938521966793,100,0.1,23949.0
20000,0.9133056343737332,0.08669436562626671,0.07051975300083733,101,0.2,24197.0
20000,0.9226992635639497,0.0773007364360503,0.07044280383693198,102,0.3,23808.0
20000,0.9187306501547987,0.08126934984520123,0.07187601365211599,103,0.4,24265.0
20000,0.9175211097708083,0.0824788902291918,0.07164943537936842,104,0.5,23784.0
20000,0.9187101456788843,0.08128985432111566,0.07147819848462204,105,0.6,24166.0
1515,1.0,0.0,NaN,106,0.7,32.0
668,1.0,0.0,NaN,107,0.8,21.0
20000,0.9084910037634686,0.09150899623653143,0.07066956240105991,108,0.9,24500.0
20000,0.9429467084639498,0.057053291536050155,0.10000000000000005,109,0.1,23895.0
20000,0.9682946944011729,0.03170530559882709,0.2,110,0.2,20774.0
519,1.0,0.0,NaN,111,0.3,14.0
18268,1.0,0.0,NaN,112,0.4,8342.0
20000,0.9997933213262866,0.00020667867371342526,0.5,113,0.5,7981.0
8461,1.0,0.0,NaN,114,0.6,1128.0
5038,1.0,0.0,NaN,115,0.7,604.0
2163,1.0,0.0,NaN,116,0.8,62.0
395,1.0,0.0,NaN,117,0.9,29.0
20000,0.9219381568310429,0.07806184316895716,0.06766918405516514,118,0.1,23742.0
20000,0.9230386547932938,0.07696134520670614,0.0685070867011053,119,0.2,23395.0
20000,0.9139566395663956,0.08604336043360433,0.07415837736747749,120,0.3,24785.0
20000,0.922650840751731,0.07734915924826904,0.06549001705777993,121,0.4,23372.0
20000,0.9049886261439983,0.0950113738560017,0.06257646002450883,122,0.5,25008.0
20000,0.9150147402663413,0.08498525973365864,0.07188434054320905,123,0.6,24210.0
20000,0.9150737447420265,0.08492625525797348,0.06693260145086495,124,0.7,24447.0
